	Ticker symbol	Security	SEC filings	GICS Sector	GICS Sub Industry	Location	Date first added[3][4]	CIK	Founded
58	T	AT&T Inc.	reports	Telecommunication Services	Integrated Telecommunication Services	Dallas, Texas	1983-11-30	732717	
59	ADSK	Autodesk Inc.	reports	Information Technology	Application Software	San Rafael, California	1989-12-01	769397	
60	ADP	Automatic Data Processing	reports	Information Technology	Internet Software & Services	Roseland, New Jersey	1981-03-31	8670	
61	AZO	AutoZone Inc	reports	Consumer Discretionary	Specialty Stores	Memphis, Tennessee	1997-01-02	866787	
62	AVB	AvalonBay Communities, Inc.	reports	Real Estate	Residential REITs	Arlington, Virginia[5]	2007-01-10	915912	
63	AVY	Avery Dennison Corp	reports	Materials	Paper Packaging	Glendale, California	1987-12-31	8818	
64	BHGE	Baker Hughes, a GE Company	reports	Energy	Oil & Gas Equipment & Services	Houston, Texas		1701605	2017
65	BLL	Ball Corp	reports	Materials	Metal & Glass Containers	Broomfield, Colorado	1984-10-31	9389	
66	BAC	Bank of America Corp	reports	Financials	Diversified Banks	Charlotte, North Carolina	1976-06-30	70858	
67	BK	The Bank of New York Mellon Corp.	reports	Financials	Asset Management & Custody Banks	New York, New York	1995-03-31	1390777	
68	BAX	Baxter International Inc.	reports	Health Care	Health Care Equipment	Deerfield, Illinois	1972-09-30	10456	1931
69	BBT	BB&T Corporation	reports	Financials	Regional Banks	Winston-Salem, North Carolina	1997-12-04	92230	
70	BDX	Becton Dickinson	reports	Health Care	Health Care Equipment	Franklin Lakes, New Jersey	1972-09-30	10795	1897
71	BRK.B	Berkshire Hathaway	reports	Financials	Multi-Sector Holdings	Omaha, Nebraska	2010-02-16	1067983	
72	BBY	Best Buy Co. Inc.	reports	Consumer Discretionary	Computer & Electronics Retail	Richfield, Minnesota	1999-06-29	764478	
73	BIIB	Biogen Inc.	reports	Health Care	Biotechnology	Weston, Massachusetts	2003-11-13	875045	
74	BLK	BlackRock	reports	Financials	Asset Management & Custody Banks	New York, New York	2011-04-04	1364742	
75	HRB	Block H&R	reports	Financials	Consumer Finance	Kansas City, Missouri	1986-11-30	12659	
76	BA	Boeing Company	reports	Industrials	Aerospace & Defense	Chicago, Illinois		12927	1916
77	BKNG	Booking Holdings Inc	reports	Consumer Discretionary	Internet & Direct Marketing Retail	Norwalk, Connecticut	2009-11-06	1075531	
78	BWA	BorgWarner	reports	Consumer Discretionary	Auto Parts & Equipment	Auburn Hills, Michigan	2011-12-19	908255	
79	BXP	Boston Properties	reports	Real Estate	Office REITs	Boston, Massachusetts	2006-04-03	1037540	
80	BSX	Boston Scientific	reports	Health Care	Health Care Equipment	Marlborough, Massachusetts[6]	1995-02-24	885725	
81	BHF	Brighthouse Financial Inc	reports	Financials	Life & Health Insurance	Charlotte, North Carolina	2017-08-08	1685040	
82	BMY	Bristol-Myers Squibb	reports	Health Care	Health Care Distributors	New York, New York		14272	1989
83	AVGO	Broadcom	reports	Information Technology	Semiconductors	San Jose, California	2014-05-08	1441634	
84	BR	Broadridge Financial Solutions	reports	Information Technology	Data Processing & Outsourced Services	Lake Success, New York	2018-06-18	1383312	1962
85	BF.B	Brown-Forman Corp.	reports	Consumer Staples	Distillers & Vintners	Louisville, Kentucky	1982-10-31	14693	
86	CHRW	C. H. Robinson Worldwide	reports	Industrials	Air Freight & Logistics	Eden Prairie, Minnesota	2007-03-02	1043277	
87	CA	CA, Inc.	reports	Information Technology	Systems Software	Islandia, New York	1987-07-31	356028	
88	COG	Cabot Oil & Gas	reports	Energy	Oil & Gas Exploration & Production	Houston, Texas	2008-06-23	858470	
89	CDNS	Cadence Design Systems	reports	Information Technology	Application Software	San Jose, California	2017-09-18	813672	
90	CPB	Campbell Soup	reports	Consumer Staples	Packaged Foods & Meats	Camden, New Jersey		16732	1869
91	COF	Capital One Financial	reports	Financials	Consumer Finance	Tysons Corner, Virginia	1998-07-01	927628	1935
92	CAH	Cardinal Health Inc.	reports	Health Care	Health Care Distributors	Dublin, Ohio	1997-05-27	721371	
93	KMX	Carmax Inc	reports	Consumer Discretionary	Specialty Stores	Richmond, Virginia	2010-06-28	1170010	
94	CCL	Carnival Corp.	reports	Consumer Discretionary	Hotels, Resorts & Cruise Lines	Miami, Florida	1998-12-22	815097	
95	CAT	Caterpillar Inc.	reports	Industrials	Construction Machinery & Heavy Trucks	Peoria, Illinois		18230	1925
96	CBOE	Cboe Global Markets	reports	Financials	Financial Exchanges & Data	Chicago, Illinois	2017-03-01	1374310	
97	CBRE	CBRE Group	reports	Real Estate	Real Estate Services	Los Angeles, California	2006-11-10	1138118	
98	CBS	CBS Corp.	reports	Consumer Discretionary	Broadcasting	New York, New York	1994-09-01	813828	
99	CELG	Celgene Corp.	reports	Health Care	Biotechnology	Summit, New Jersey	2006-11-06	816284	
100	CNC	Centene Corporation	reports	Health Care	Managed Health Care	St Louis, Missouri	2016-03-30	1071739	
101	CNP	CenterPoint Energy	reports	Utilities	Multi-Utilities	Houston, Texas	1985-07-31	1130310	
102	CTL	CenturyLink Inc	reports	Telecommunication Services	Integrated Telecommunication Services	Monroe, Louisiana	1999-03-25	18926	
103	CERN	Cerner	reports	Health Care	Health Care Technology	North Kansas City, Missouri	2010-04-30	804753	
104	CF	CF Industries Holdings Inc	reports	Materials	Fertilizers & Agricultural Chemicals	Deerfield, Illinois	2008-08-27	1324404	
105	SCHW	Charles Schwab Corporation	reports	Financials	Investment Banking & Brokerage	San Francisco, California	1997-06-02	316709	
106	CHTR	Charter Communications	reports	Consumer Discretionary	Cable & Satellite	Stamford, Connecticut	2016-09-08	1091667	
107	CVX	Chevron Corp.	reports	Energy	Integrated Oil & Gas	San Ramon, California		93410	1879
108	CMG	Chipotle Mexican Grill	reports	Consumer Discretionary	Restaurants	Denver, Colorado	2011-04-28	1058090	
109	CB	Chubb Limited	reports	Financials	Property & Casualty Insurance	Zurich, Switzerland	2010-07-15	896159	
110	CHD	Church & Dwight	reports	Consumer Staples	Household Products	Ewing, New Jersey	2015-12-29	313927	
111	CI	CIGNA Corp.	reports	Health Care	Managed Health Care	Bloomfield, Connecticut	1976-06-30	701221	
112	XEC	Cimarex Energy	reports	Energy	Oil & Gas Exploration & Production	Denver, Colorado	2014-06-21	1168054	
113	CINF	Cincinnati Financial	reports	Financials	Property & Casualty Insurance	Fairfield, Ohio	1997-12-18	20286	
114	CTAS	Cintas Corporation	reports	Industrials	Diversified Support Services	Mason, Ohio	2001-03-01	723254	
115	CSCO	Cisco Systems	reports	Information Technology	Communications Equipment	San Jose, California	1993-12-01	858877	
116	C	Citigroup Inc.	reports	Financials	Diversified Banks	New York, New York	1988-05-31	831001	
117	CFG	Citizens Financial Group	reports	Financials	Regional Banks	Providence, Rhode Island	2016-01-29	759944	
118	CTXS	Citrix Systems	reports	Information Technology	Internet Software & Services	Fort Lauderdale, Florida	1999-12-01	877890	
119	CLX	The Clorox Company	reports	Consumer Staples	Household Products	Oakland, California	1969-03-31	21076	1913
120	CME	CME Group Inc.	reports	Financials	Financial Exchanges & Data	Chicago, Illinois	2006-08-11	1156375	
121	CMS	CMS Energy	reports	Utilities	Multi-Utilities	Jackson, Michigan	1999-05-03	811156	
122	KO	Coca-Cola Company (The)	reports	Consumer Staples	Soft Drinks	Atlanta, Georgia		21344	1886
123	CTSH	Cognizant Technology Solutions	reports	Information Technology	IT Consulting & Other Services	Teaneck, New Jersey	2006-11-17	1058290	
124	CL	Colgate-Palmolive	reports	Consumer Staples	Household Products	New York, New York		21665	1806
125	CMCSA	Comcast Corp.	reports	Consumer Discretionary	Cable & Satellite	Philadelphia, Pennsylvania	2015-09-18	1166691	
126	CMA	Comerica Inc.	reports	Financials	Diversified Banks	Dallas, Texas	1995-12-01	28412	
127	CAG	Conagra Brands	reports	Consumer Staples	Packaged Foods & Meats	Chicago, Illinois	1983-08-31	23217	
128	CXO	Concho Resources	reports	Energy	Oil & Gas Exploration & Production	Midland, Texas	2016-02-22	1358071	
129	COP	ConocoPhillips	reports	Energy	Oil & Gas Exploration & Production	Houston, Texas		1163165	2002
130	ED	Consolidated Edison	reports	Utilities	Electric Utilities	New York, New York		1047862	1823
131	STZ	Constellation Brands	reports	Consumer Staples	Distillers & Vintners	Victor, New York	2005-07-05	16918	
132	COO	The Cooper Companies	reports	Health Care	Health Care Supplies	Pleasanton, California	2016-09-23	711404	
133	CPRT	Copart Inc	reports	Industrials	Diversified Support Services	Dallas, Texas	2018-07-02	900075	
134	GLW	Corning Inc.	reports	Information Technology	Electronic Components	Corning, New York		24741	1851
135	COST	Costco Wholesale Corp.	reports	Consumer Staples	Hypermarkets & Super Centers	Issaquah, Washington	1993-10-01	909832	
136	COTY	Coty, Inc	reports	Consumer Staples	Personal Products	New York, New York	2016-10-03	1024305	
137	CCI	Crown Castle International Corp.	reports	Real Estate	Specialized REITs	Houston, Texas	2012-03-14	1051470	
138	CSX	CSX Corp.	reports	Industrials	Railroads	Jacksonville, Florida	1967-09-30	277948	1980
139	CMI	Cummins Inc.	reports	Industrials	Industrial Machinery	Columbus, Indiana	1965-03-31	26172	1919
140	CVS	CVS Health	reports	Consumer Staples	Drug Retail	Woonsocket, Rhode Island		64803	1996
141	DHI	D. R. Horton	reports	Consumer Discretionary	Homebuilding	Fort Worth, Texas		882184	1978
142	DHR	Danaher Corp.	reports	Health Care	Health Care Equipment	Washington, D.C.		313616	1969
143	DRI	Darden Restaurants	reports	Consumer Discretionary	Restaurants	Orlando, Florida		940944	1938
144	DVA	DaVita Inc.	reports	Health Care	Health Care Facilities	Denver, Colorado	2008-07-31	927066	
145	DE	Deere & Co.	reports	Industrials	Agricultural & Farm Machinery	Moline, Illinois		315189	1837
146	DAL	Delta Air Lines Inc.	reports	Industrials	Airlines	Atlanta, Georgia	2013-09-11	27904	
147	XRAY	Dentsply Sirona	reports	Health Care	Health Care Supplies	York, Pennsylvania	2008-11-14	818479	
148	DVN	Devon Energy Corp.	reports	Energy	Oil & Gas Exploration & Production	Oklahoma City, Oklahoma	2000-08-30	1090012	
149	DLR	Digital Realty Trust Inc	reports	Real Estate	Specialized REITs	San Francisco, California	2016-05-18	1297996	
150	DFS	Discover Financial Services	reports	Financials	Consumer Finance	Riverwoods, Illinois	2007-07-02	1393612	
151	DISCA	Discovery Inc. Class A	reports	Consumer Discretionary	Cable & Satellite	Silver Spring, Maryland	2010-03-01	1437107	
152	DISCK	Discovery Inc. Class C	reports	Consumer Discretionary	Cable & Satellite	Silver Spring, Maryland	2014-08-07	1437107	
153	DISH	Dish Network	reports	Consumer Discretionary	Cable & Satellite	Meridian, Colorado	2017-03-13	1001082	
154	DG	Dollar General	reports	Consumer Discretionary	General Merchandise Stores	Goodlettsville, Tennessee	2012-12-03	29534	
155	DLTR	Dollar Tree	reports	Consumer Discretionary	General Merchandise Stores	Chesapeake, Virginia	2011-12-19	935703	
156	D	Dominion Energy	reports	Utilities	Electric Utilities	Richmond, Virginia		715957	1983
157	DOV	Dover Corp.	reports	Industrials	Industrial Machinery	Downers Grove, Illinois	1985-10-31	29905	
158	DWDP	DowDuPont	reports	Materials	Diversified Chemicals	Midland, Michigan		1666700	2017
159	DTE	DTE Energy Co.	reports	Utilities	Multi-Utilities	Detroit, Michigan		936340	1995
160	DRE	Duke Realty Corp	reports	Real Estate	Industrial REITs	Indianapolis, Indiana	2017-07-26	783280	
161	DUK	Duke Energy	reports	Utilities	Electric Utilities	Charlotte, North Carolina	1976-06-30	1326160	
162	DXC	DXC Technology	reports	Information Technology	IT Consulting & Other Services	Tysons Corner, Virginia	2017-04-04	1688568	
163	ETFC	E*Trade	reports	Financials	Investment Banking & Brokerage	New York, New York	2004-03-31	1015780	
164	EMN	Eastman Chemical	reports	Materials	Diversified Chemicals	Kingsport, Tennessee	1994-01-01	915389	
165	ETN	Eaton Corporation	reports	Industrials	Electrical Components & Equipment	Dublin, Ireland		1551182	1911
166	EBAY	eBay Inc.	reports	Information Technology	Internet Software & Services	San Jose, California		1065088	1995
167	ECL	Ecolab Inc.	reports	Materials	Specialty Chemicals	St. Paul, Minnesota	1989-01-31	31462	
168	EIX	Edison Int'l	reports	Utilities	Electric Utilities	Rosemead, California		827052	1886
169	EW	Edwards Lifesciences	reports	Health Care	Health Care Equipment	Irvine, California	2011-04-01	1099800	
170	EA	Electronic Arts	reports	Information Technology	Home Entertainment Software	Redwood City, California	2002-07-22	712515	
171	EMR	Emerson Electric Company	reports	Industrials	Electrical Components & Equipment	Ferguson, Missouri	1965-03-31	32604	1890
172	ETR	Entergy Corp.	reports	Utilities	Electric Utilities	New Orleans, Louisiana		65984	1913
173	EVHC	Envision Healthcare	reports	Health Care	Health Care Services	Nashville, Tennessee	2016-12-02	895930	
174	EOG	EOG Resources	reports	Energy	Oil & Gas Exploration & Production	Houston, Texas	2000-11-02	821189	
175	EQT	EQT Corporation	reports	Energy	Oil & Gas Exploration & Production	Pittsburgh, Pennsylvania	2008-12-19	33213	
176	EFX	Equifax Inc.	reports	Industrials	Research & Consulting Services	Atlanta, Georgia	1997-06-19	33185	
177	EQIX	Equinix	reports	Real Estate	Specialized REITs	Redwood City, California	2015-03-20	1101239	
178	EQR	Equity Residential	reports	Real Estate	Residential REITs	Chicago, Illinois	2001-12-03	906107	
179	ESS	Essex Property Trust, Inc.	reports	Real Estate	Residential REITs	Palo Alto, California	2014-04-02	920522	
180	EL	Estee Lauder Cos.	reports	Consumer Staples	Personal Products	New York, New York	2006-01-05	1001250	
181	EVRG	Evergy	reports	Utilities	Electric Utilities	Kansas City, Missouri	2018-06-05	1711269	1909
182	ES	Eversource Energy	reports	Utilities	Multi-Utilities	Springfield, Massachusetts		72741	1966
183	RE	Everest Re Group Ltd.	reports	Financials	Reinsurance	Hamilton, Bermuda	2017-06-19	1095073	
184	EXC	Exelon Corp.	reports	Utilities	Multi-Utilities	Chicago, Illinois		1109357	2000
185	EXPE	Expedia Inc.	reports	Consumer Discretionary	Internet & Direct Marketing Retail	Bellevue, Washington	2007-10-02	1324424	
186	EXPD	Expeditors International	reports	Industrials	Air Freight & Logistics	Seattle, Washington	2007-10-10	746515	
187	ESRX	Express Scripts	reports	Health Care	Health Care Distributors	Cool Valley, Missouri	2003-09-25	1532063	
188	EXR	Extra Space Storage	reports	Real Estate	Specialized REITs	Salt Lake City, Utah	2016-01-19	1289490	
189	XOM	Exxon Mobil Corp.	reports	Energy	Integrated Oil & Gas	Irving, Texas		34088	1999
190	FFIV	F5 Networks	reports	Information Technology	Communications Equipment	Seattle, Washington	2010-12-20	1048695	1996
191	FB	Facebook, Inc.	reports	Information Technology	Internet Software & Services	Menlo Park, California	2013-12-23	1326801	
192	FAST	Fastenal Co	reports	Industrials	Building Products	Winona, Minnesota	2009-09-15	815556	
193	FRT	Federal Realty Investment Trust	reports	Real Estate	Retail REITs	Rockville, Maryland	2016-02-01	34903	
194	FDX	FedEx Corporation	reports	Industrials	Air Freight & Logistics	Memphis, Tennessee	1980-12-31	1048911	
195	FIS	Fidelity National Information Services	reports	Information Technology	Internet Software & Services	Jacksonville, Florida	2006-11-10	1136893	
196	FITB	Fifth Third Bancorp	reports	Financials	Regional Banks	Cincinnati, Ohio		35527	1858
197	FE	FirstEnergy Corp	reports	Utilities	Electric Utilities	Akron, Ohio		1031296	1997
198	FISV	Fiserv Inc	reports	Information Technology	Internet Software & Services	Brookfield, Wisconsin	2001-04-02	798354	
199	FLT	FleetCor Technologies Inc	reports	Information Technology	Data Processing & Outsources Services	Norcross, Georgia	2018-06-20	1175454	2000
200	FLIR	FLIR Systems	reports	Information Technology	Electronic Equipment & Instruments	Wilsonville, Oregon	2009-01-02	354908	
201	FLS	Flowserve Corporation	reports	Industrials	Industrial Machinery	Irving, Texas	2008-10-02	30625	
202	FLR	Fluor Corp.	reports	Industrials	Construction & Engineering	Irving, Texas	1980-03-31	1124198	
203	FMC	FMC Corporation	reports	Materials	Fertilizers & Agricultural Chemicals	Philadelphia, Pennsylvania	2009-08-19	37785	
204	FL	Foot Locker Inc	reports	Consumer Discretionary	Apparel Retail	New York, New York	2016-04-04	850209	
205	F	Ford Motor	reports	Consumer Discretionary	Automobile Manufacturers	Dearborn, Michigan		37996	1903
206	FTV	Fortive Corp	reports	Industrials	Industrial Machinery	Everett, Washington	2016-07-01	1659166	
207	FBHS	Fortune Brands Home & Security	reports	Industrials	Building Products	Deerfield, Illinois	2016-06-22	1519751	
208	BEN	Franklin Resources	reports	Financials	Asset Management & Custody Banks	San Mateo, California		38777	1947
209	FCX	Freeport-McMoRan Inc.	reports	Materials	Copper	Phoenix, Arizona		831259	1912
210	GPS	Gap Inc.	reports	Consumer Discretionary	Apparel Retail	San Francisco, California	1986-08-31	39911	
211	GRMN	Garmin Ltd.	reports	Consumer Discretionary	Consumer Electronics	Schaffhausen, Switzerland	2012-12-12	1121788	
212	IT	Gartner Inc	reports	Information Technology	IT Consulting & Other Services	Stamford, Connecticut	2017-04-05	749251	
213	GD	General Dynamics	reports	Industrials	Aerospace & Defense	Falls Church, Virginia		40533	1899
214	GE	General Electric	reports	Industrials	Industrial Conglomerates	Boston, Massachusetts		40545	1892
215	GGP	General Growth Properties Inc.	reports	Real Estate	Retail REITs	Chicago, Illinois	2013-12-10	1496048	
216	GIS	General Mills	reports	Consumer Staples	Packaged Foods & Meats	Golden Valley, Minnesota	1969-03-31	40704	1856
217	GM	General Motors	reports	Consumer Discretionary	Automobile Manufacturers	Detroit, Michigan	2013-06-06	1467858	
218	GPC	Genuine Parts	reports	Consumer Discretionary	Specialty Stores	Atlanta, Georgia	1973-12-31	40987	1925
219	GILD	Gilead Sciences	reports	Health Care	Biotechnology	Foster City, California	2004-07-01	882095	
220	GPN	Global Payments Inc.	reports	Information Technology	Data Processing & Outsourced Services	Atlanta, Georgia	2016-04-25	1123360	
221	GS	Goldman Sachs Group	reports	Financials	Investment Banking & Brokerage	New York, New York	2002-07-22	886982	
222	GT	Goodyear Tire & Rubber	reports	Consumer Discretionary	Tires & Rubber	Akron, Ohio		42582	1898
223	GWW	Grainger (W.W.) Inc.	reports	Industrials	Industrial Machinery	Lake Forest, Illinois	1981-06-30	277135	
224	HAL	Halliburton Co.	reports	Energy	Oil & Gas Equipment & Services	Houston, Texas		45012	1919
225	HBI	Hanesbrands Inc	reports	Consumer Discretionary	Apparel, Accessories & Luxury Goods	Winston-Salem, North Carolina	2015-03-20	1359841	
226	HOG	Harley-Davidson	reports	Consumer Discretionary	Motorcycle Manufacturers	Milwaukee, Wisconsin		793952	1903
227	HRS	Harris Corporation	reports	Information Technology	Communications Equipment	Melbourne, Florida	2008-09-22	202058	
228	HIG	Hartford Financial Svc.Gp.	reports	Financials	Property & Casualty Insurance	Hartford, Connecticut		874766	
229	HAS	Hasbro Inc.	reports	Consumer Discretionary	Leisure Products	Pawtucket, Rhode Island	1984-09-30	46080	
230	HCA	HCA Holdings	reports	Health Care	Health Care Facilities	Nashville, Tennessee	2015-01-27	860730	
231	HCP	HCP Inc.	reports	Real Estate	Health Care REITs	Long Beach, California	2008-03-31	765880	
232	HP	Helmerich & Payne	reports	Energy	Oil & Gas Drilling	Tulsa, Oklahoma[7]	2010-03-01	46765	
233	HSIC	Henry Schein	reports	Health Care	Health Care Distributors	Melville, New York	2015-03-17	1000228	
234	HSY	The Hershey Company	reports	Consumer Staples	Packaged Foods & Meats	Hershey, Pennsylvania		47111	1894
235	HES	Hess Corporation	reports	Energy	Integrated Oil & Gas	New York, New York	1984-05-31	4447	
236	HPE	Hewlett Packard Enterprise	reports	Information Technology	Technology Hardware, Storage & Peripherals	Palo Alto, California	2015-11-02	1645590	
237	HLT	Hilton Worldwide Holdings Inc	reports	Consumer Discretionary	Hotels, Resorts & Cruise Lines	Tysons Corner, Virginia	2017-06-19	1585689	
238	HFC	HollyFrontier Corp	reports	Energy	Oil & Gas Refining & Marketing	Dallas, Texas	2018-06-18	48039	1947
239	HOLX	Hologic	reports	Health Care	Health Care Equipment	Marlborough, Massachusetts	2016-03-30	859737	
240	HD	Home Depot	reports	Consumer Discretionary	Home Improvement Retail	Atlanta, Georgia	1988-03-31	354950	
241	HON	Honeywell Int'l Inc.	reports	Industrials	Industrial Conglomerates	Morristown, New Jersey	1964-03-31	773840	1906
242	HRL	Hormel Foods Corp.	reports	Consumer Staples	Packaged Foods & Meats	Austin, Minnesota	2009-03-04	48465	
243	HST	Host Hotels & Resorts	reports	Real Estate	Hotel & Resort REITs	Bethesda, Maryland	2007-03-20	1070750	
244	HPQ	HP Inc.	reports	Information Technology	Technology Hardware, Storage & Peripherals	Palo Alto, California	1974-12-31	47217	1939 (2015)
245	HUM	Humana Inc.	reports	Health Care	Managed Health Care	Louisville, Kentucky		49071	1961
246	HBAN	Huntington Bancshares	reports	Financials	Regional Banks	Columbus, Ohio		49196	1866
247	HII	Huntington Ingalls Industries	reports	Industrials	Aerospace & Defense	Newport News, Virginia	2018-01-03	1501585	
248	IDXX	IDEXX Laboratories	reports	Health Care	Health Care Equipment	Westbrook, Maine	2017-01-05	874716	
249	INFO	IHS Markit Ltd.	reports	Industrials	Research & Consulting Services	London, United Kingdom	2017-06-02	1598014	
